"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\action_plugins\map_to_keyboard\__init__.py", "Python", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 54, 239
"c:\JoystickGremlin-develop\action_plugins\map_to_keyboard_ex\__init__.py", "Python", 564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 165, 792
"c:\JoystickGremlin-develop\action_plugins\map_to_mouse\__init__.py", "Python", 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 94, 563
"c:\JoystickGremlin-develop\action_plugins\map_to_mouse_ex\__init__.py", "Python", 716, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 206, 971
"c:\JoystickGremlin-develop\action_plugins\map_to_osc\__init__.py", "Python", 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 224, 952
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnectManager.py", "Python", 1703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 461, 2295
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Attributes.py", "Python", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 382, 94, 999
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Constants.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 67
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\Enum.py", "Python", 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 162, 718
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\EventList.py", "Python", 1264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36, 1302
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\FacilitiesList.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 113
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\RequestList.py", "Python", 981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 31, 1037
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnect.py", "Python", 1079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 270, 1452
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnectBridge.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 73, 377
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\__init__.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\__init__.py", "Python", 2804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 290, 1074, 4168
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\simconnect_simvars.xml", "XML", 0, 0, 4763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4764
"c:\JoystickGremlin-develop\action_plugins\map_to_vjoy\__init__.py", "Python", 2921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 965, 4107
"c:\JoystickGremlin-develop\action_plugins\merged_axis\__init__.py", "Python", 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 195, 699
"c:\JoystickGremlin-develop\action_plugins\noop\__init__.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 31, 101
"c:\JoystickGremlin-develop\action_plugins\pause\__init__.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 51, 199
"c:\JoystickGremlin-develop\action_plugins\play_sound\__init__.py", "Python", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 46, 239
"c:\JoystickGremlin-develop\action_plugins\previous_mode\__init__.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 104
"c:\JoystickGremlin-develop\action_plugins\remap\__init__.py", "Python", 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 110, 567
"c:\JoystickGremlin-develop\action_plugins\response_curve\__init__.py", "Python", 1136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 327, 1546
"c:\JoystickGremlin-develop\action_plugins\response_curve\grid.svg", "XML", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 139
"c:\JoystickGremlin-develop\action_plugins\response_curve_ex\__init__.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 55, 198
"c:\JoystickGremlin-develop\action_plugins\resume\__init__.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 104
"c:\JoystickGremlin-develop\action_plugins\run_process\__init__.py", "Python", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 75, 278
"c:\JoystickGremlin-develop\action_plugins\split_axis\__init__.py", "Python", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 45, 254
"c:\JoystickGremlin-develop\action_plugins\switch_mode\__init__.py", "Python", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 49, 205
"c:\JoystickGremlin-develop\action_plugins\system\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 80, 290
"c:\JoystickGremlin-develop\action_plugins\temporary_mode_switch\__init__.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 46, 221
"c:\JoystickGremlin-develop\action_plugins\text_to_speech\__init__.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 73, 296
"c:\JoystickGremlin-develop\action_plugins\toggle_pause\__init__.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 104
"c:\JoystickGremlin-develop\checklist.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\JoystickGremlin-develop\container_plugins\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 21
"c:\JoystickGremlin-develop\container_plugins\basic\__init__.py", "Python", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 50, 250
"c:\JoystickGremlin-develop\container_plugins\button\__init__.py", "Python", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 56, 294
"c:\JoystickGremlin-develop\container_plugins\chain\__init__.py", "Python", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 59, 286
"c:\JoystickGremlin-develop\container_plugins\double_tap\__init__.py", "Python", 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 72, 403
"c:\JoystickGremlin-develop\container_plugins\hat_buttons\__init__.py", "Python", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 64, 350
"c:\JoystickGremlin-develop\container_plugins\range\__init__.py", "Python", 555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 199, 824
