"filename", "language", "Python", "Properties", "XML", "Ini", "YAML", "pip requirements", "Markdown", "Log", "JavaScript", "Batch", "HTML", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gremlin\sendinput.py", "Python", 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 115, 498
"c:\JoystickGremlin-develop\gremlin\shared_state.py", "Python", 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 129, 496
"c:\JoystickGremlin-develop\gremlin\signal.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 32
"c:\JoystickGremlin-develop\gremlin\singleton_decorator.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 32
"c:\JoystickGremlin-develop\gremlin\spline.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 49, 211
"c:\JoystickGremlin-develop\gremlin\threading.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 51
"c:\JoystickGremlin-develop\gremlin\tree.py", "Python", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 56, 268
"c:\JoystickGremlin-develop\gremlin\tts.py", "Python", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 61, 283
"c:\JoystickGremlin-develop\gremlin\types.py", "Python", 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 166, 1056
"c:\JoystickGremlin-develop\gremlin\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\gremlin\ui\axis_calibration.py", "Python", 682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 211, 934
"c:\JoystickGremlin-develop\gremlin\ui\backend.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 64, 358
"c:\JoystickGremlin-develop\gremlin\ui\config.py", "Python", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 174
"c:\JoystickGremlin-develop\gremlin\ui\deadzone.py", "Python", 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 91, 464
"c:\JoystickGremlin-develop\gremlin\ui\device.py", "Python", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 151, 717
"c:\JoystickGremlin-develop\gremlin\ui\dialogs.py", "Python", 2202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 768, 3123
"c:\JoystickGremlin-develop\gremlin\ui\input_item.py", "Python", 1983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 708, 2866
"c:\JoystickGremlin-develop\gremlin\ui\input_viewer.py", "Python", 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 146, 563
"c:\JoystickGremlin-develop\gremlin\ui\joystick_device.py", "Python", 874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 330, 1319
"c:\JoystickGremlin-develop\gremlin\ui\keyboard_device.py", "Python", 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 193, 744
"c:\JoystickGremlin-develop\gremlin\ui\merge_axis.py", "Python", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 52, 314
"c:\JoystickGremlin-develop\gremlin\ui\midi_device.py", "Python", 1489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 490, 2101
"c:\JoystickGremlin-develop\gremlin\ui\mode_device.py", "Python", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 116, 399
"c:\JoystickGremlin-develop\gremlin\ui\osc_device.py", "Python", 2719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 881, 3793
"c:\JoystickGremlin-develop\gremlin\ui\profile.py", "Python", 547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 125, 707
"c:\JoystickGremlin-develop\gremlin\ui\profile_creator.py", "Python", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 68, 370
"c:\JoystickGremlin-develop\gremlin\ui\profile_settings.py", "Python", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 89, 366
"c:\JoystickGremlin-develop\gremlin\ui\qdatawidget.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\JoystickGremlin-develop\gremlin\ui\qsliderwidget.py", "Python", 808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 247, 1161
"c:\JoystickGremlin-develop\gremlin\ui\theme.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\JoystickGremlin-develop\gremlin\ui\ui_about.py", "Python", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 80
"c:\JoystickGremlin-develop\gremlin\ui\ui_activation_condition.py", "Python", 893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 306, 1237
"c:\JoystickGremlin-develop\gremlin\ui\ui_common.py", "Python", 4699, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 1383, 6354
"c:\JoystickGremlin-develop\gremlin\ui\ui_gremlin.py", "Python", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 253
"c:\JoystickGremlin-develop\gremlin\ui\ui_labeled.py", "Python", 582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 140, 744
"c:\JoystickGremlin-develop\gremlin\ui\ui_util.py", "Python", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 45, 265
"c:\JoystickGremlin-develop\gremlin\ui\user_plugin_management.py", "Python", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 116, 537
"c:\JoystickGremlin-develop\gremlin\ui\virtual_button.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76, 346
"c:\JoystickGremlin-develop\gremlin\ui\virtual_keyboard.py", "Python", 766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 202, 1029
"c:\JoystickGremlin-develop\gremlin\user_plugin.py", "Python", 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 173, 851
"c:\JoystickGremlin-develop\gremlin\util.py", "Python", 1389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 359, 1835
"c:\JoystickGremlin-develop\gremlin\windows_event_hook.py", "Python", 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 91, 480
"c:\JoystickGremlin-develop\joystick_gremlin.py", "Python", 2810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 376, 1112, 4298
"c:\JoystickGremlin-develop\layout.xml", "XML", 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 247
"c:\JoystickGremlin-develop\logs\custom_widgets.log", "Log", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\JoystickGremlin-develop\qml\helpers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\JoystickGremlin-develop\qml_notes.md", "Markdown", 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 125, 412
"c:\JoystickGremlin-develop\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\JoystickGremlin-develop\resources.py", "Python", 15930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 9, 15996
"c:\JoystickGremlin-develop\scripts\configuration.py", "Python", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 56, 251
"c:\JoystickGremlin-develop\scripts\msfs.py", "Python", 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 156, 779
"c:\JoystickGremlin-develop\scripts\osc.py", "Python", 1427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 446, 2012
"c:\JoystickGremlin-develop\scripts\sc.py", "Python", 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 219, 884
"c:\JoystickGremlin-develop\scripts\util.py", "Python", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 58, 266
"c:\JoystickGremlin-develop\simconnect_simvars.xml", "XML", 0, 0, 4987, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4988
"c:\JoystickGremlin-develop\test\action_condition_complex.xml", "XML", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 174
"c:\JoystickGremlin-develop\test\action_condition_simple.xml", "XML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\JoystickGremlin-develop\test\conftest.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\JoystickGremlin-develop\test\test_action_condition.py", "Python", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 157
"c:\JoystickGremlin-develop\test\test_action_description.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 14, 95
"c:\JoystickGremlin-develop\test\test_action_remap.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 159
"c:\JoystickGremlin-develop\test\test_action_tempo.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 97
"c:\JoystickGremlin-develop\test\test_config.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 25, 111
"c:\JoystickGremlin-develop\test\test_profile.py", "Python", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 43, 283
"c:\JoystickGremlin-develop\test\test_tree.py", "Python", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52, 290
"c:\JoystickGremlin-develop\test\test_util.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 148
"c:\JoystickGremlin-develop\vigem\vigem_client.py", "Python", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49, 335
"c:\JoystickGremlin-develop\vigem\vigem_commons.py", "Python", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33, 202
"c:\JoystickGremlin-develop\vigem\vigem_gamepad.py", "Python", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 113, 523
"c:\JoystickGremlin-develop\vjoy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\vjoy\vjoy.py", "Python", 677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 180, 904
"c:\JoystickGremlin-develop\vjoy\vjoy_interface.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 33, 230
"Total", "-", 99106, 0, 14234, 18, 1, 12, 2177, 13, 15, 16, 1384, 8500, 26836, 152312
