Date : 2026-03-04 14:37:32
Directory : c:\JoystickGremlin-develop
Total : 277 files,  56043 codes, 16340 comments, 21658 blanks, all 94041 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\JoystickGremlin-develop\scripts\sc.py                                                   | Python           |          2 |          1 |          0 |          3 |
| c:\JoystickGremlin-develop\site\404.html                                                   | HTML             |        256 |          0 |        413 |        669 |
| c:\JoystickGremlin-develop\site\actions\index.html                                         | HTML             |      1,785 |          0 |        682 |      2,467 |
| c:\JoystickGremlin-develop\site\assets\discord.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\bundle.c8b220af.min.js                  | JavaScript       |         14 |          1 |          2 |         17 |
| c:\JoystickGremlin-develop\site\assets\javascripts\glightbox.min.js                        | JavaScript       |          1 |          0 |          1 |          2 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ar.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.da.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.de.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.du.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.el.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.es.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fi.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fr.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.he.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hi.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hu.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hy.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.it.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ja.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.jp.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.kn.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ko.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.multi.min.js              | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.nl.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.no.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.pt.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ro.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ru.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.sa.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.stemmer.support.min.js    | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.sv.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ta.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.te.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.th.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.tr.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
