"filename", "language", "YAML", "Batch", "Python", "Markdown", "XML", "pip requirements", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\EventList.py", "Python", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\RequestList.py", "Python", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnect.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 37, 21, 109
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\SimConnect\SimConnectBridge.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 7, 43
"c:\JoystickGremlin-develop\action_plugins\map_to_simconnect\__init__.py", "Python", 0, 0, 676, 0, 0, 0, 0, 0, 0, 0, 152, 247, 1075
"c:\JoystickGremlin-develop\action_plugins\map_to_state\__init__.py", "Python", 0, 0, 919, 0, 0, 0, 0, 0, 0, 0, 92, 318, 1329
"c:\JoystickGremlin-develop\action_plugins\map_to_trigger\__init__.py", "Python", 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 15, 127, 500
"c:\JoystickGremlin-develop\action_plugins\map_to_vjoy\__init__.py", "Python", 0, 0, 2068, 0, 0, 0, 0, 0, 0, 0, 200, 703, 2971
"c:\JoystickGremlin-develop\action_plugins\merged_axis\__init__.py", "Python", 0, 0, -447, 0, 0, 0, 0, 0, 0, 0, -57, -195, -699
"c:\JoystickGremlin-develop\action_plugins\noop\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, -1, 4
"c:\JoystickGremlin-develop\action_plugins\os_actions\__init__.py", "Python", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 26, 103, 426
"c:\JoystickGremlin-develop\action_plugins\pause\__init__.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, -1, 14
"c:\JoystickGremlin-develop\action_plugins\play_sound\__init__.py", "Python", 0, 0, 652, 0, 0, 0, 0, 0, 0, 0, 43, 201, 896
"c:\JoystickGremlin-develop\action_plugins\previous_mode\__init__.py", "Python", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 9
"c:\JoystickGremlin-develop\action_plugins\remap\__init__.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 33, 10, 92
"c:\JoystickGremlin-develop\action_plugins\response_curve\__init__.py", "Python", 0, 0, -191, 0, 0, 0, 0, 0, 0, 0, 299, -49, 59
"c:\JoystickGremlin-develop\action_plugins\response_curve_ex\__init__.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 35, 4, 47
