"filename", "language", "YAML", "Dotenv", "Python", "XML", "Markdown", "pip requirements", "HTML", "JavaScript", "Batch", "JSON", "Log", "PostCSS", "Ini", "comment", "blank", "total"
"c:\JoystickGremlin-develop\gremlin\plugin_manager.py", "Python", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 76, 404
"c:\JoystickGremlin-develop\gremlin\process.py", "Python", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 86, 452
"c:\JoystickGremlin-develop\gremlin\profile.py", "Python", 0, 0, 1119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 354, 314, 1787
"c:\JoystickGremlin-develop\gremlin\profile_graph.py", "Python", 0, 0, 1017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 321, 1430
"c:\JoystickGremlin-develop\gremlin\raw_input.py", "Python", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 71, 409
"c:\JoystickGremlin-develop\gremlin\remote.py", "Python", 0, 0, 1665, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 443, 2211
"c:\JoystickGremlin-develop\gremlin\repeater.py", "Python", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 60, 340
"c:\JoystickGremlin-develop\gremlin\reporting.py", "Python", 0, 0, 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 196, 825
"c:\JoystickGremlin-develop\gremlin\sendinput.py", "Python", 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 118, 590
"c:\JoystickGremlin-develop\gremlin\shared_state.py", "Python", 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 161, 598
"c:\JoystickGremlin-develop\gremlin\signal.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 33
"c:\JoystickGremlin-develop\gremlin\singleton_decorator.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 32
"c:\JoystickGremlin-develop\gremlin\sound.py", "Python", 0, 0, 661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 223, 955
"c:\JoystickGremlin-develop\gremlin\spline.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 43, 211
"c:\JoystickGremlin-develop\gremlin\tabstate.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 125
"c:\JoystickGremlin-develop\gremlin\threading.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 54, 177
"c:\JoystickGremlin-develop\gremlin\tree.py", "Python", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 36, 268
"c:\JoystickGremlin-develop\gremlin\tts.py", "Python", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 83, 389
"c:\JoystickGremlin-develop\gremlin\types.py", "Python", 0, 0, 1197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 222, 1458
"c:\JoystickGremlin-develop\gremlin\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 17
"c:\JoystickGremlin-develop\gremlin\ui\axis_calibration.py", "Python", 0, 0, 1098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 342, 1534
"c:\JoystickGremlin-develop\gremlin\ui\backend.py", "Python", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 46, 358
"c:\JoystickGremlin-develop\gremlin\ui\config.py", "Python", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 43, 175
"c:\JoystickGremlin-develop\gremlin\ui\deadzone.py", "Python", 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 86, 450
"c:\JoystickGremlin-develop\gremlin\ui\device.py", "Python", 0, 0, 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 146, 719
"c:\JoystickGremlin-develop\gremlin\ui\dialogs.py", "Python", 0, 0, 2993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 412, 1210, 4615
"c:\JoystickGremlin-develop\gremlin\ui\eliding.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 51, 280
"c:\JoystickGremlin-develop\gremlin\ui\input_item.py", "Python", 0, 0, 3448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655, 1280, 5383
"c:\JoystickGremlin-develop\gremlin\ui\input_viewer.py", "Python", 0, 0, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 296, 1208
"c:\JoystickGremlin-develop\gremlin\ui\joystick_device.py", "Python", 0, 0, 1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 406, 1612
"c:\JoystickGremlin-develop\gremlin\ui\keyboard_device.py", "Python", 0, 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 208, 881
"c:\JoystickGremlin-develop\gremlin\ui\merge_axis.py", "Python", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 47, 316
"c:\JoystickGremlin-develop\gremlin\ui\midi_device.py", "Python", 0, 0, 1608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 526, 2300
"c:\JoystickGremlin-develop\gremlin\ui\mode_device.py", "Python", 0, 0, 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 142, 582
"c:\JoystickGremlin-develop\gremlin\ui\octavi_device.py", "Python", 0, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 180, 970
"c:\JoystickGremlin-develop\gremlin\ui\osc_device.py", "Python", 0, 0, 2882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 759, 952, 4593
"c:\JoystickGremlin-develop\gremlin\ui\profile.py", "Python", 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 121, 699
"c:\JoystickGremlin-develop\gremlin\ui\profile_creator.py", "Python", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 55, 374
"c:\JoystickGremlin-develop\gremlin\ui\profile_settings.py", "Python", 0, 0, 477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 183, 769
"c:\JoystickGremlin-develop\gremlin\ui\qdatawidget.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\JoystickGremlin-develop\gremlin\ui\qsliderwidget.py", "Python", 0, 0, 853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 263, 1264
"c:\JoystickGremlin-develop\gremlin\ui\state_device.py", "Python", 0, 0, 2491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 768, 3446
